SURVEY_YEAR,REGION,SIZE1,ABUN_FEMALE_IMM,ABUN_FEM_MAT,TOTAL_ABUN
2017,NBS,34,336688632,30606,336719238
2017,NBS,35,275076607,61212,275137819
2017,NBS,36,270823279,439595,271262874
2017,NBS,37,225473935,1665204,227139139
2017,NBS,38,188308990,3794030,192103020
2017,NBS,39,160550490,6068005,166618495
2017,NBS,40,230322896,7235522,237558418
2017,NBS,41,190442987,5689872,196132859
2017,NBS,42,185851314,6774821,192626135
2017,NBS,43,116908880,7134326,124043206
2017,NBS,44,116380340,8771433,125151773
2017,NBS,45,74891750,10859819,85751569
2017,NBS,46,81431009,10943918,92374927
2017,NBS,47,32459740,13316751,45776491
2017,NBS,48,21038080,9743298,30781378
2017,NBS,49,18248900,10786092,29034992
2017,NBS,50,9203144,9288242,18491386
2017,NBS,51,9361480,7526216,16887696
2017,NBS,52,9086447,8672975,17759422
2017,NBS,53,3883644,6413377,10297021
2017,NBS,54,3555906,4413629,7969535
2017,NBS,55,2976841,5321806,8298647
2017,NBS,56,2286084,2752440,5038524
2017,NBS,57,2184703,1331981,3516684
2017,NBS,58,624056,1137862,1761918
2017,NBS,59,27120,383499,410619
2017,NBS,60,520173,240492,760665
2017,NBS,61,0,423938,423938
2017,NBS,62,32822,256564,289386
2017,NBS,63,1078549,234713,1313262
2017,NBS,64,32822,182554,215376
2017,NBS,65,0,30151,30151
2017,NBS,66,0,32822,32822
2017,NBS,67,0,0,0
2017,NBS,68,0,32822,32822
2017,NBS,69,0,0,0
2017,NBS,70,0,32822,32822
2018,NBS,10,141434,0,141434
2018,NBS,11,1232430,0,1232430
2018,NBS,12,986109,0,986109
2018,NBS,13,378174,0,378174
2018,NBS,14,0,0,0
2018,NBS,15,0,0,0
2018,NBS,16,70743,0,70743
2018,NBS,17,446212,0,446212
2018,NBS,18,821044,0,821044
2018,NBS,19,479471,0,479471
2018,NBS,20,682819,0,682819
2018,NBS,21,1556556,0,1556556
2018,NBS,22,569680,0,569680
2018,NBS,23,170787,0,170787
2018,NBS,24,2286994,0,2286994
2018,NBS,25,1087215,0,1087215
2018,NBS,26,1210552,0,1210552
2018,NBS,27,12039451,0,12039451
2018,NBS,28,13084568,0,13084568
2018,NBS,29,5709230,0,5709230
2018,NBS,30,13528074,0,13528074
2018,NBS,31,30946543,0,30946543
2018,NBS,32,35009156,0,35009156
2018,NBS,33,49273679,0,49273679
2018,NBS,34,44315580,0,44315580
2018,NBS,35,39017577,0,39017577
2018,NBS,36,70266456,1640854,71907310
2018,NBS,37,143334351,1739318,145073669
2018,NBS,38,139623620,3261462,142885082
2018,NBS,39,207025786,6257654,213283440
2018,NBS,40,188360894,9053835,197414729
2018,NBS,41,273935116,10350556,284285672
2018,NBS,42,265178372,5371890,270550262
2018,NBS,43,203311723,8669985,211981708
2018,NBS,44,201956146,6777284,208733430
2018,NBS,45,96581040,6005909,102586949
2018,NBS,46,88860911,2819264,91680175
2018,NBS,47,46449352,8904030,55353382
2018,NBS,48,23896498,2309790,26206288
2018,NBS,49,19187060,4123479,23310539
2018,NBS,50,9829383,3790084,13619467
2018,NBS,51,7665306,1224388,8889694
2018,NBS,52,6918750,3238565,10157315
2018,NBS,53,6396388,1891832,8288220
2018,NBS,54,7118800,1191868,8310668
2018,NBS,55,7799056,193610,7992666
2018,NBS,56,6333079,126618,6459697
2018,NBS,57,5181610,608379,5789989
2018,NBS,58,4605876,766096,5371972
2018,NBS,59,2302938,1731882,4034820
2018,NBS,60,575734,0,575734
2018,NBS,61,1151469,63309,1214778
2018,NBS,62,0,66556,66556
2018,NBS,63,0,0,0
2018,NBS,64,0,63760,63760
2018,NBS,65,0,0,0
2018,NBS,66,0,0,0
2018,NBS,67,0,575734,575734
2018,NBS,68,0,0,0
2018,NBS,69,0,0,0
2018,NBS,70,0,0,0
2018,NBS,71,0,0,0
2018,NBS,72,0,0,0
2018,NBS,73,0,0,0
2018,NBS,74,1556556,0,1556556
2019,NBS,7,165161,0,165161
2019,NBS,8,2107101,0,2107101
2019,NBS,9,59934,0,59934
2019,NBS,10,19823138,0,19823138
2019,NBS,11,49236843,0,49236843
2019,NBS,12,23069203,0,23069203
2019,NBS,13,4770763,0,4770763
2019,NBS,14,2903534,0,2903534
2019,NBS,15,9314023,0,9314023
2019,NBS,16,12002989,0,12002989
2019,NBS,17,8497932,0,8497932
2019,NBS,18,4096165,0,4096165
2019,NBS,19,787831,0,787831
2019,NBS,20,2348498,0,2348498
2019,NBS,21,3341485,0,3341485
2019,NBS,22,4759019,0,4759019
2019,NBS,23,6064146,0,6064146
2019,NBS,24,5095791,0,5095791
2019,NBS,25,4922117,0,4922117
2019,NBS,26,3718620,0,3718620
2019,NBS,27,6563745,0,6563745
2019,NBS,28,12697676,0,12697676
2019,NBS,29,20373335,0,20373335
2019,NBS,30,29883869,0,29883869
2019,NBS,31,25529269,0,25529269
2019,NBS,32,25569110,0,25569110
2019,NBS,33,33059739,27741,33087480
2019,NBS,34,21240968,0,21240968
2019,NBS,35,16563116,0,16563116
2019,NBS,36,17414728,0,17414728
2019,NBS,37,16464850,54390,16519240
2019,NBS,38,17429513,397498,17827011
2019,NBS,39,17253064,233179,17486243
2019,NBS,40,23988323,340594,24328917
2019,NBS,41,20359659,620525,20980184
2019,NBS,42,29822934,1622626,31445560
2019,NBS,43,27480524,3060075,30540599
2019,NBS,44,22420469,2776480,25196949
2019,NBS,45,29127936,6420813,35548749
2019,NBS,46,30510553,9163771,39674324
2019,NBS,47,31860496,13703301,45563797
